Season,Avg_Temperature,Avg_Humidity,Avg_Wind_Speed,Avg_Precipitation,Total_Precipitation
Winter,18.587773835920178,63.60143458980044,1.7696629711751664,1.0022793791574278,4520.28
Summer,27.00211304347826,53.6334152173913,2.1723673913043475,2.7969173913043477,12865.82
Monsoon,26.765485245901637,78.23385901639344,2.517385245901639,8.492675409836066,51805.32
Post-Monsoon,22.274081967213114,74.40276393442623,1.6737147540983606,3.626895081967213,11062.03
